id,House,Hogsmeade_Visits,House_Allies,Curse_Mark,Owl_Posts,Quidditch_Attendance,Boggart_Fear,Time_in_Chamber,Corruption
27,Slytherin,,1.0,,1.0,0.0,,9.0,Vulnerable
28,Slytherin,,5.0,False,8.0,4.0,No,2.0,Safe
29,Slytherin,1.0,4.0,True,0.0,0.0,Yes,,Vulnerable
30,Gryffindor,9.0,,False,5.0,0.0,No,3.0,Safe
31,Ravenclaw,4.0,11.0,,5.0,,No,,Vulnerable
32,Hufflepuff,9.0,4.0,False,8.0,,No,1.0,Safe
33,Hufflepuff,7.0,11.0,,9.0,5.0,No,2.0,Safe
34,Slytherin,1.0,,,,0.0,Yes,5.0,Vulnerable
35,Slytherin,2.0,1.0,,3.0,3.0,Yes,6.0,Vulnerable
36,Gryffindor,6.0,,,,3.0,No,3.0,Vulnerable
37,Hufflepuff,7.0,5.0,False,3.0,4.0,No,2.0,Safe
38,Hufflepuff,8.0,13.0,False,6.0,3.0,No,2.0,Safe
39,Hufflepuff,5.0,11.0,,4.0,4.0,No,0.0,Safe
40,Ravenclaw,8.0,10.0,False,4.0,3.0,No,0.0,Safe
41,Slytherin,6.0,14.0,,3.0,5.0,No,,Safe
42,Slytherin,6.0,5.0,False,6.0,6.0,No,2.0,Safe
43,Slytherin,9.0,11.0,,5.0,4.0,No,,Safe
44,Slytherin,1.0,3.0,True,,0.0,Yes,,Vulnerable
45,Hufflepuff,6.0,11.0,False,4.0,,No,2.0,Vulnerable
46,Hufflepuff,,12.0,,,3.0,No,2.0,Safe
47,Gryffindor,4.0,14.0,,3.0,7.0,No,0.0,Safe
48,Slytherin,1.0,5.0,True,1.0,,Yes,10.0,Vulnerable
49,Gryffindor,9.0,6.0,False,4.0,7.0,No,,Safe
50,Slytherin,,5.0,,2.0,2.0,Yes,7.0,Vulnerable
51,Gryffindor,3.0,5.0,,8.0,6.0,No,0.0,Safe
52,Slytherin,7.0,,False,,6.0,No,0.0,Safe
53,Slytherin,3.0,5.0,True,0.0,3.0,Yes,6.0,Vulnerable
54,Gryffindor,3.0,,True,1.0,1.0,Yes,4.0,Vulnerable
55,Ravenclaw,0.0,2.0,True,1.0,,Yes,9.0,Vulnerable
56,Gryffindor,9.0,12.0,False,3.0,7.0,No,3.0,Safe
57,Hufflepuff,6.0,8.0,False,7.0,,No,4.0,Vulnerable
58,Slytherin,,5.0,True,,2.0,Yes,8.0,Vulnerable
59,Hufflepuff,8.0,14.0,,9.0,6.0,,2.0,Safe
60,Slytherin,,2.0,True,0.0,,Yes,9.0,Vulnerable
61,Hufflepuff,9.0,4.0,,5.0,3.0,No,0.0,Safe
62,Ravenclaw,6.0,13.0,False,4.0,6.0,No,,Safe
63,Hufflepuff,4.0,,,0.0,2.0,Yes,,Safe
64,Gryffindor,2.0,1.0,True,0.0,2.0,,9.0,Vulnerable
65,Slytherin,0.0,0.0,True,2.0,2.0,,4.0,Vulnerable
66,Ravenclaw,8.0,8.0,False,10.0,4.0,No,5.0,Safe
67,Hufflepuff,,6.0,False,9.0,7.0,No,3.0,Safe
68,Slytherin,0.0,3.0,,0.0,2.0,Yes,7.0,Vulnerable
69,Slytherin,1.0,0.0,True,2.0,,Yes,4.0,Vulnerable
70,Slytherin,4.0,6.0,,10.0,3.0,No,3.0,Safe
71,Hufflepuff,7.0,15.0,,9.0,4.0,No,,Safe
72,Slytherin,8.0,10.0,False,8.0,,No,2.0,Safe
73,Slytherin,7.0,12.0,,4.0,5.0,No,1.0,Safe
74,Slytherin,6.0,5.0,False,3.0,6.0,No,2.0,Safe
75,Gryffindor,7.0,10.0,False,8.0,5.0,No,2.0,Safe
76,Slytherin,0.0,1.0,True,1.0,,Yes,10.0,Vulnerable
77,Ravenclaw,2.0,1.0,,3.0,,Yes,5.0,Vulnerable
78,Ravenclaw,5.0,6.0,False,7.0,4.0,No,0.0,Safe
79,Gryffindor,,12.0,,8.0,4.0,No,1.0,Safe
80,Slytherin,9.0,6.0,,,4.0,No,2.0,Safe
81,Slytherin,8.0,8.0,False,6.0,5.0,No,4.0,Safe
82,Slytherin,6.0,14.0,False,3.0,7.0,No,0.0,Safe
83,Gryffindor,,4.0,,0.0,3.0,Yes,9.0,Vulnerable
84,Slytherin,7.0,4.0,False,6.0,6.0,No,3.0,Safe
85,Slytherin,6.0,6.0,,6.0,4.0,No,0.0,Safe
86,Hufflepuff,8.0,10.0,False,6.0,3.0,No,1.0,Safe
87,Hufflepuff,0.0,1.0,True,2.0,2.0,,11.0,Vulnerable
88,Slytherin,6.0,,,,4.0,No,3.0,Vulnerable
89,Hufflepuff,5.0,5.0,False,3.0,5.0,,2.0,Safe
90,Slytherin,5.0,,False,9.0,6.0,No,0.0,Safe
91,Slytherin,3.0,4.0,False,9.0,7.0,No,3.0,Safe
92,Slytherin,1.0,1.0,,,2.0,,10.0,Vulnerable
93,Gryffindor,9.0,,False,6.0,7.0,No,1.0,Safe
94,Hufflepuff,5.0,7.0,False,8.0,6.0,No,2.0,Safe
95,Gryffindor,8.0,6.0,,5.0,6.0,No,0.0,Safe
96,Slytherin,1.0,,,3.0,3.0,,9.0,Vulnerable
97,Hufflepuff,3.0,0.0,True,1.0,0.0,Yes,4.0,Vulnerable
98,Ravenclaw,6.0,11.0,False,7.0,5.0,No,0.0,Safe
99,Slytherin,6.0,,,7.0,,No,2.0,Vulnerable
100,Slytherin,6.0,7.0,False,3.0,5.0,No,1.0,Safe
101,Gryffindor,10.0,10.0,,7.0,6.0,No,2.0,Safe
102,Slytherin,2.0,2.0,,0.0,0.0,Yes,6.0,Safe
103,Slytherin,6.0,11.0,,6.0,6.0,No,0.0,Safe
104,Slytherin,6.0,8.0,False,8.0,6.0,No,,Safe
105,Ravenclaw,,,,0.0,2.0,Yes,,Vulnerable
106,Gryffindor,10.0,,False,3.0,4.0,No,2.0,Safe
107,Ravenclaw,4.0,,,6.0,4.0,No,,Vulnerable
108,Hufflepuff,6.0,15.0,False,4.0,6.0,No,9.0,Safe
109,Ravenclaw,6.0,6.0,False,6.0,5.0,No,2.0,Safe
110,Slytherin,9.0,14.0,,6.0,4.0,No,0.0,Safe
111,Ravenclaw,4.0,14.0,,7.0,3.0,No,3.0,Safe
112,Gryffindor,5.0,7.0,False,9.0,3.0,No,3.0,Safe
113,Hufflepuff,10.0,9.0,,8.0,4.0,No,0.0,Safe
114,Slytherin,0.0,5.0,,2.0,3.0,Yes,5.0,Vulnerable
115,Ravenclaw,4.0,12.0,False,4.0,4.0,No,2.0,Safe
116,Gryffindor,4.0,8.0,False,6.0,5.0,No,1.0,Safe
117,Gryffindor,6.0,13.0,False,8.0,5.0,No,0.0,Safe
118,Hufflepuff,4.0,12.0,False,7.0,6.0,No,3.0,Safe
119,Slytherin,,4.0,,0.0,2.0,Yes,10.0,Vulnerable
120,Gryffindor,9.0,9.0,False,,3.0,No,1.0,Safe
121,Slytherin,3.0,0.0,,1.0,,Yes,9.0,Vulnerable
122,Slytherin,1.0,0.0,True,1.0,0.0,Yes,,Vulnerable
123,Ravenclaw,3.0,5.0,,,1.0,Yes,7.0,Vulnerable
124,Slytherin,,11.0,False,3.0,6.0,No,4.0,Vulnerable
125,Ravenclaw,6.0,9.0,False,9.0,3.0,No,1.0,Safe
126,Ravenclaw,4.0,7.0,False,3.0,7.0,No,3.0,Safe
127,Slytherin,9.0,6.0,,7.0,4.0,No,1.0,Safe
128,Gryffindor,4.0,8.0,False,8.0,6.0,No,1.0,Safe
129,Ravenclaw,4.0,15.0,False,3.0,4.0,No,,Safe
130,Gryffindor,0.0,0.0,True,0.0,,Yes,10.0,Vulnerable
131,Gryffindor,9.0,15.0,,8.0,4.0,No,2.0,Safe
132,Slytherin,8.0,15.0,False,7.0,5.0,No,,Safe
133,Hufflepuff,5.0,7.0,False,9.0,,,0.0,Safe
134,Ravenclaw,4.0,13.0,,6.0,6.0,No,3.0,Safe
135,Hufflepuff,9.0,11.0,,9.0,6.0,No,3.0,Safe
136,Gryffindor,9.0,12.0,False,9.0,3.0,No,1.0,Safe
137,Slytherin,3.0,4.0,False,8.0,3.0,No,0.0,Safe
138,Slytherin,8.0,,False,3.0,7.0,No,3.0,Safe
139,Gryffindor,2.0,2.0,True,2.0,2.0,,11.0,Safe
140,Ravenclaw,7.0,11.0,False,6.0,6.0,No,4.0,Safe
141,Ravenclaw,8.0,11.0,False,6.0,6.0,No,2.0,Safe
142,Ravenclaw,7.0,12.0,False,4.0,4.0,No,1.0,Safe
143,Hufflepuff,3.0,12.0,False,9.0,6.0,No,1.0,Safe
144,Ravenclaw,,9.0,,9.0,4.0,No,3.0,Safe
145,Hufflepuff,4.0,8.0,False,,5.0,No,1.0,Vulnerable
146,Hufflepuff,7.0,14.0,False,,,No,1.0,Safe
147,Slytherin,3.0,3.0,True,,1.0,Yes,7.0,Vulnerable
148,Slytherin,9.0,11.0,False,7.0,3.0,,1.0,Safe
149,Gryffindor,4.0,,,3.0,6.0,No,,Vulnerable
150,Slytherin,,3.0,,1.0,1.0,Yes,6.0,Vulnerable
151,Slytherin,0.0,,True,2.0,2.0,,7.0,Vulnerable
152,Slytherin,,3.0,True,3.0,,Yes,,Vulnerable
153,Gryffindor,6.0,10.0,False,3.0,3.0,,0.0,Safe
154,Slytherin,4.0,5.0,False,6.0,7.0,No,2.0,Safe
155,Gryffindor,0.0,,True,2.0,1.0,Yes,10.0,Vulnerable
156,Slytherin,0.0,4.0,True,,0.0,Yes,10.0,Vulnerable
157,Slytherin,5.0,,,6.0,5.0,No,3.0,Vulnerable
158,Slytherin,,,,,2.0,Yes,11.0,Vulnerable
159,Ravenclaw,3.0,2.0,True,0.0,0.0,,10.0,Vulnerable
160,Gryffindor,9.0,15.0,False,,5.0,No,0.0,Safe
161,Ravenclaw,,,False,3.0,5.0,No,,Vulnerable
162,Ravenclaw,7.0,15.0,False,3.0,,No,0.0,Safe
163,Slytherin,2.0,,True,,0.0,Yes,4.0,Vulnerable
164,Hufflepuff,9.0,14.0,False,3.0,3.0,No,2.0,Safe
165,Slytherin,,,True,1.0,,Yes,6.0,Vulnerable
166,Ravenclaw,7.0,8.0,,8.0,3.0,No,1.0,Safe
167,Gryffindor,6.0,13.0,,4.0,4.0,No,3.0,Vulnerable
168,Slytherin,3.0,4.0,,2.0,,Yes,,Vulnerable
169,Slytherin,1.0,,,1.0,1.0,Yes,7.0,Vulnerable
170,Gryffindor,,12.0,,6.0,3.0,No,,Safe
171,Slytherin,7.0,,False,,4.0,No,,Vulnerable
172,Ravenclaw,8.0,11.0,False,3.0,6.0,No,2.0,Safe
173,Gryffindor,9.0,12.0,,7.0,6.0,No,2.0,Safe
174,Hufflepuff,10.0,4.0,False,,3.0,No,3.0,Safe
175,Gryffindor,6.0,12.0,False,7.0,5.0,No,2.0,Safe
176,Gryffindor,7.0,8.0,False,5.0,,No,,Vulnerable
177,Gryffindor,8.0,11.0,,7.0,,No,4.0,Safe
178,Gryffindor,3.0,4.0,,8.0,6.0,No,3.0,Safe
179,Slytherin,0.0,,,0.0,2.0,Yes,10.0,Vulnerable
180,Ravenclaw,3.0,5.0,,1.0,,Yes,,Vulnerable
181,Ravenclaw,9.0,8.0,,4.0,3.0,No,1.0,Safe
182,Slytherin,4.0,1.0,True,0.0,1.0,Yes,11.0,Vulnerable
183,Hufflepuff,6.0,14.0,False,4.0,7.0,No,,Safe
184,Ravenclaw,7.0,5.0,,8.0,4.0,No,1.0,Safe
185,Ravenclaw,4.0,,,5.0,4.0,No,,Vulnerable
186,Hufflepuff,7.0,6.0,False,,4.0,No,,Vulnerable
187,Hufflepuff,2.0,3.0,True,1.0,3.0,Yes,10.0,Vulnerable
188,Ravenclaw,6.0,15.0,,8.0,4.0,No,0.0,Safe
189,Slytherin,3.0,,True,1.0,,Yes,,Vulnerable
190,Gryffindor,3.0,5.0,True,0.0,2.0,,,Vulnerable
191,Gryffindor,9.0,,False,4.0,,No,0.0,Safe
192,Ravenclaw,5.0,13.0,False,3.0,5.0,No,2.0,Safe
193,Slytherin,4.0,15.0,False,7.0,,No,1.0,Safe
194,Ravenclaw,9.0,7.0,False,9.0,6.0,No,2.0,Safe
195,Slytherin,7.0,12.0,False,4.0,,No,0.0,Safe
196,Hufflepuff,,5.0,False,5.0,,No,3.0,Vulnerable
197,Slytherin,4.0,12.0,False,5.0,6.0,No,1.0,Safe
198,Gryffindor,9.0,,False,9.0,3.0,No,2.0,Safe
199,Slytherin,8.0,,False,3.0,4.0,No,3.0,Vulnerable
200,Hufflepuff,,,,,,No,,Vulnerable
201,Ravenclaw,7.0,,,6.0,4.0,No,0.0,Safe
202,Slytherin,5.0,13.0,False,9.0,5.0,No,2.0,Safe
203,Ravenclaw,3.0,10.0,False,8.0,7.0,No,1.0,Safe
204,Ravenclaw,6.0,14.0,,3.0,5.0,No,0.0,Safe
205,Slytherin,3.0,,True,3.0,,Yes,7.0,Vulnerable
206,Gryffindor,8.0,10.0,False,9.0,,No,1.0,Safe
207,Hufflepuff,9.0,,False,10.0,6.0,No,1.0,Safe
208,Slytherin,4.0,10.0,False,4.0,,No,0.0,Safe
209,Slytherin,,15.0,False,9.0,3.0,,0.0,Safe
210,Hufflepuff,0.0,0.0,,1.0,2.0,Yes,6.0,Vulnerable
211,Slytherin,3.0,,True,1.0,1.0,Yes,,Vulnerable
212,Gryffindor,8.0,7.0,False,,3.0,No,1.0,Safe
213,Slytherin,2.0,4.0,True,1.0,1.0,,8.0,Vulnerable
214,Ravenclaw,,,,0.0,0.0,Yes,4.0,Vulnerable
215,Slytherin,6.0,8.0,False,9.0,,No,1.0,Safe
216,Slytherin,1.0,2.0,,,2.0,Yes,5.0,Vulnerable
217,Ravenclaw,8.0,15.0,,4.0,,No,,Safe
218,Gryffindor,9.0,9.0,,6.0,,,3.0,Safe
219,Hufflepuff,9.0,6.0,,8.0,7.0,No,,Safe
220,Slytherin,1.0,0.0,True,0.0,,,9.0,Vulnerable
221,Ravenclaw,8.0,,,8.0,5.0,No,1.0,Safe
222,Hufflepuff,10.0,11.0,False,4.0,4.0,No,0.0,Safe
223,Slytherin,5.0,8.0,False,6.0,4.0,No,3.0,Vulnerable
224,Slytherin,8.0,13.0,False,5.0,6.0,No,3.0,Safe
225,Ravenclaw,5.0,7.0,False,,4.0,No,2.0,Vulnerable
226,Gryffindor,7.0,6.0,False,7.0,4.0,No,4.0,Safe
227,Slytherin,9.0,9.0,False,4.0,7.0,No,3.0,Safe
228,Ravenclaw,8.0,10.0,False,3.0,4.0,No,1.0,Safe
229,Slytherin,7.0,,False,9.0,,No,0.0,Safe
230,Gryffindor,5.0,,,9.0,4.0,,3.0,Safe
231,Gryffindor,5.0,,False,3.0,3.0,No,0.0,Safe
232,Gryffindor,1.0,4.0,True,2.0,0.0,Yes,11.0,Vulnerable
233,Ravenclaw,8.0,5.0,False,9.0,4.0,No,2.0,Safe
234,Slytherin,,,True,,,Yes,11.0,Vulnerable
235,Ravenclaw,4.0,5.0,False,10.0,3.0,No,2.0,Safe
236,Slytherin,1.0,3.0,,0.0,0.0,Yes,9.0,Vulnerable
237,Gryffindor,4.0,9.0,False,6.0,6.0,No,0.0,Safe
238,Slytherin,2.0,1.0,True,,2.0,Yes,11.0,Vulnerable
239,Slytherin,3.0,4.0,True,3.0,1.0,Yes,11.0,Vulnerable
240,Slytherin,5.0,13.0,False,3.0,5.0,,0.0,Safe
241,Slytherin,1.0,2.0,True,1.0,,Yes,2.0,Vulnerable
242,Hufflepuff,,12.0,False,10.0,5.0,No,3.0,Safe
243,Hufflepuff,6.0,10.0,False,6.0,7.0,No,3.0,Safe
244,Gryffindor,,9.0,False,,5.0,No,4.0,Vulnerable
245,Slytherin,3.0,5.0,,4.0,5.0,No,,Vulnerable
246,Slytherin,5.0,15.0,False,6.0,4.0,No,3.0,Safe
247,Ravenclaw,9.0,11.0,,5.0,,No,,Safe
248,Slytherin,4.0,7.0,,7.0,4.0,No,7.0,Safe
249,Hufflepuff,1.0,2.0,,2.0,2.0,Yes,10.0,Vulnerable
250,Slytherin,9.0,12.0,False,6.0,4.0,No,1.0,Safe
251,Slytherin,7.0,5.0,,3.0,6.0,No,1.0,Safe
252,Gryffindor,0.0,,True,0.0,1.0,,10.0,Vulnerable
253,Gryffindor,10.0,14.0,False,8.0,3.0,No,1.0,Safe
254,Slytherin,,11.0,False,7.0,4.0,No,,Safe
255,Slytherin,8.0,5.0,False,7.0,3.0,No,1.0,Safe
256,Gryffindor,9.0,13.0,False,6.0,4.0,No,0.0,Safe
257,Ravenclaw,5.0,12.0,False,4.0,6.0,No,,Safe
258,Hufflepuff,6.0,13.0,False,5.0,6.0,No,2.0,Safe
259,Slytherin,2.0,1.0,,3.0,1.0,Yes,10.0,Vulnerable
260,Slytherin,0.0,,True,,0.0,Yes,,Vulnerable
261,Ravenclaw,6.0,9.0,False,8.0,4.0,No,3.0,Vulnerable
262,Ravenclaw,,4.0,True,2.0,,Yes,,Vulnerable
263,Hufflepuff,,,,2.0,0.0,Yes,,Vulnerable
264,Slytherin,,4.0,False,3.0,6.0,No,,Safe
265,Slytherin,0.0,0.0,,3.0,2.0,Yes,10.0,Vulnerable
266,Slytherin,8.0,14.0,False,7.0,3.0,No,2.0,Safe
267,Slytherin,,3.0,True,2.0,3.0,Yes,,Vulnerable
268,Slytherin,,2.0,True,2.0,,Yes,9.0,Vulnerable
269,Ravenclaw,9.0,11.0,False,,4.0,No,,Safe
270,Slytherin,7.0,10.0,False,7.0,7.0,No,0.0,Safe
271,Slytherin,0.0,5.0,True,,,,4.0,Vulnerable
272,Hufflepuff,5.0,12.0,False,3.0,3.0,No,,Vulnerable
273,Ravenclaw,5.0,4.0,,7.0,3.0,No,1.0,Safe
274,Slytherin,5.0,7.0,,9.0,6.0,No,3.0,Safe
275,Slytherin,6.0,6.0,,7.0,7.0,No,3.0,Safe
276,Gryffindor,0.0,1.0,,0.0,0.0,Yes,6.0,Vulnerable
277,Gryffindor,,,True,,0.0,Yes,4.0,Vulnerable
278,Gryffindor,8.0,14.0,False,6.0,3.0,No,3.0,Safe
279,Slytherin,4.0,3.0,True,0.0,1.0,Yes,8.0,Vulnerable
280,Ravenclaw,9.0,14.0,,3.0,7.0,No,3.0,Safe
281,Hufflepuff,,9.0,False,3.0,5.0,No,2.0,Safe
282,Slytherin,6.0,8.0,False,,5.0,No,,Vulnerable
283,Slytherin,3.0,,True,1.0,0.0,,8.0,Vulnerable
284,Gryffindor,3.0,4.0,,,,Yes,7.0,Vulnerable
285,Slytherin,9.0,12.0,False,6.0,,No,,Vulnerable
286,Ravenclaw,7.0,8.0,,,5.0,No,1.0,Safe
287,Gryffindor,6.0,,False,3.0,7.0,No,3.0,Safe
288,Slytherin,3.0,5.0,,2.0,2.0,Yes,10.0,Vulnerable
289,Slytherin,,,True,3.0,2.0,Yes,,Vulnerable
290,Gryffindor,5.0,6.0,,4.0,6.0,No,1.0,Safe
291,Ravenclaw,5.0,6.0,,,4.0,No,0.0,Safe
292,Slytherin,6.0,12.0,False,3.0,6.0,No,0.0,Safe
293,Slytherin,3.0,,,0.0,0.0,Yes,10.0,Vulnerable
294,Ravenclaw,3.0,2.0,True,1.0,1.0,,10.0,Vulnerable
295,Slytherin,,4.0,True,3.0,,Yes,10.0,Vulnerable
296,Hufflepuff,5.0,14.0,False,3.0,7.0,No,3.0,Safe
297,Ravenclaw,3.0,,False,5.0,6.0,No,1.0,Safe
298,Gryffindor,8.0,12.0,False,5.0,3.0,No,4.0,Safe
299,Slytherin,9.0,13.0,,,6.0,No,,Safe
300,Ravenclaw,4.0,9.0,False,,6.0,No,2.0,Safe
301,Slytherin,7.0,14.0,False,10.0,7.0,No,,Safe
302,Gryffindor,,11.0,False,,4.0,No,,Vulnerable
303,Slytherin,,15.0,,9.0,5.0,No,2.0,Safe
304,Hufflepuff,2.0,2.0,,1.0,1.0,Yes,5.0,Vulnerable
305,Slytherin,4.0,12.0,False,5.0,4.0,No,1.0,Safe
306,Gryffindor,,12.0,False,4.0,3.0,No,0.0,Safe
307,Gryffindor,,5.0,True,2.0,,Yes,9.0,Vulnerable
308,Hufflepuff,5.0,10.0,False,6.0,3.0,No,1.0,Safe
309,Gryffindor,2.0,0.0,True,,2.0,Yes,11.0,Vulnerable
310,Gryffindor,5.0,13.0,False,8.0,5.0,No,1.0,Safe
311,Slytherin,4.0,9.0,,3.0,,No,0.0,Safe
312,Slytherin,1.0,,,1.0,1.0,Yes,9.0,Vulnerable
313,Hufflepuff,0.0,0.0,True,,,Yes,6.0,Vulnerable
314,Ravenclaw,10.0,13.0,False,7.0,7.0,No,3.0,Safe
315,Gryffindor,6.0,10.0,,4.0,3.0,No,2.0,Safe
316,Hufflepuff,,13.0,,7.0,4.0,,2.0,Safe
317,Gryffindor,0.0,3.0,True,,,Yes,6.0,Vulnerable
318,Gryffindor,,13.0,,7.0,7.0,No,0.0,Safe
319,Gryffindor,,4.0,True,0.0,,Yes,7.0,Vulnerable
320,Slytherin,2.0,3.0,True,0.0,,Yes,,Vulnerable
321,Slytherin,2.0,2.0,,2.0,,,,Vulnerable
322,Ravenclaw,3.0,,,3.0,0.0,,10.0,Vulnerable
323,Hufflepuff,1.0,4.0,True,2.0,,Yes,7.0,Vulnerable
324,Hufflepuff,6.0,4.0,False,8.0,7.0,No,0.0,Safe
325,Ravenclaw,9.0,14.0,False,9.0,6.0,No,2.0,Safe
326,Gryffindor,3.0,,,,3.0,No,3.0,Vulnerable
327,Slytherin,4.0,12.0,,8.0,6.0,No,,Safe
328,Hufflepuff,,4.0,False,5.0,4.0,No,2.0,Vulnerable
329,Gryffindor,5.0,10.0,False,,3.0,No,2.0,Vulnerable
330,Ravenclaw,2.0,,,2.0,,Yes,11.0,Vulnerable
331,Gryffindor,7.0,8.0,False,8.0,3.0,No,2.0,Safe
332,Slytherin,4.0,8.0,False,,3.0,No,2.0,Safe
333,Gryffindor,6.0,11.0,,7.0,3.0,No,0.0,Safe
334,Slytherin,5.0,7.0,False,7.0,,No,3.0,Vulnerable
335,Gryffindor,9.0,,,3.0,5.0,No,3.0,Safe
336,Gryffindor,5.0,9.0,False,8.0,6.0,No,2.0,Safe
337,Gryffindor,9.0,9.0,False,7.0,7.0,No,0.0,Safe
338,Slytherin,9.0,13.0,False,8.0,,No,,Vulnerable
339,Slytherin,5.0,4.0,,5.0,6.0,No,1.0,Safe
340,Gryffindor,8.0,9.0,False,5.0,4.0,No,0.0,Safe
341,Slytherin,9.0,5.0,False,7.0,3.0,No,2.0,Safe
342,Gryffindor,9.0,5.0,False,3.0,4.0,No,1.0,Safe
343,Gryffindor,5.0,11.0,False,,,No,2.0,Vulnerable
344,Slytherin,5.0,,False,,4.0,No,1.0,Vulnerable
345,Slytherin,5.0,14.0,False,7.0,7.0,No,,Safe
346,Hufflepuff,,,,1.0,,Yes,10.0,Vulnerable
347,Ravenclaw,9.0,14.0,False,8.0,6.0,,3.0,Safe
348,Slytherin,6.0,14.0,False,9.0,6.0,No,1.0,Safe
349,Slytherin,,6.0,False,4.0,3.0,No,1.0,Safe
350,Hufflepuff,,14.0,,3.0,5.0,No,2.0,Safe
351,Gryffindor,8.0,14.0,,10.0,5.0,No,0.0,Safe
352,Slytherin,10.0,7.0,False,7.0,4.0,No,4.0,Safe
353,Slytherin,6.0,9.0,,4.0,7.0,No,3.0,Safe
354,Hufflepuff,10.0,12.0,False,5.0,4.0,No,,Safe
355,Slytherin,5.0,,False,,3.0,No,2.0,Vulnerable
356,Slytherin,7.0,15.0,False,7.0,3.0,No,2.0,Safe
357,Ravenclaw,5.0,13.0,,8.0,5.0,No,4.0,Safe
358,Gryffindor,,15.0,False,6.0,4.0,,2.0,Safe
359,Slytherin,8.0,,False,6.0,6.0,No,3.0,Safe
360,Slytherin,,,,3.0,2.0,Yes,4.0,Vulnerable
361,Gryffindor,6.0,3.0,False,9.0,5.0,No,2.0,Safe
362,Slytherin,4.0,4.0,False,3.0,3.0,No,2.0,Safe
363,Slytherin,3.0,,True,0.0,1.0,Yes,4.0,Vulnerable
364,Ravenclaw,7.0,4.0,False,3.0,,No,0.0,Safe
365,Ravenclaw,8.0,13.0,False,3.0,5.0,No,2.0,Safe
366,Hufflepuff,4.0,5.0,False,9.0,,No,1.0,Safe
367,Hufflepuff,,10.0,,5.0,5.0,No,,Vulnerable
368,Slytherin,,,,0.0,2.0,Yes,4.0,Vulnerable
369,Slytherin,5.0,11.0,False,6.0,6.0,,,Safe
370,Slytherin,2.0,,,2.0,2.0,Yes,5.0,Vulnerable
371,Hufflepuff,,6.0,False,6.0,5.0,No,1.0,Safe
372,Gryffindor,3.0,4.0,True,3.0,,Yes,,Vulnerable
373,Slytherin,1.0,,,,,Yes,8.0,Vulnerable
374,Gryffindor,,3.0,False,9.0,5.0,No,2.0,Safe
375,Ravenclaw,0.0,,True,0.0,2.0,Yes,11.0,Vulnerable
376,Gryffindor,3.0,6.0,,7.0,4.0,No,2.0,Safe
377,Ravenclaw,4.0,5.0,False,9.0,4.0,No,,Safe
378,Slytherin,5.0,,False,5.0,4.0,No,,Vulnerable
379,Slytherin,9.0,10.0,,9.0,4.0,No,2.0,Safe
380,Slytherin,0.0,3.0,,,1.0,Yes,7.0,Vulnerable
381,Gryffindor,6.0,7.0,,8.0,3.0,No,,Safe
382,Hufflepuff,9.0,7.0,False,5.0,7.0,No,0.0,Safe
383,Ravenclaw,8.0,10.0,False,6.0,7.0,No,2.0,Safe
384,Gryffindor,,10.0,True,2.0,0.0,Yes,,Vulnerable
385,Ravenclaw,,11.0,,6.0,6.0,No,2.0,Safe
386,Slytherin,3.0,5.0,True,,1.0,Yes,,Vulnerable
387,Hufflepuff,4.0,10.0,,9.0,4.0,No,1.0,Safe
